sku,source_title,product_type,reason,parent_stock,total_variants,available_variants,current_price,affiliate_url
15707561853310,High-Waisted Tailored Shorts - Chocolate,Apparel,Sin stock en todas las variantes,N,6,0,55.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15707561853310&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fhigh-waisted-tailored-shorts-chocolate&intsrc=CATF_35417
14888154890622,Houndstooth Blazer Dress - Brown,Apparel,Sin stock en todas las variantes,N,6,0,60.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=14888154890622&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fhoundstooth-blazer-dress-brown&intsrc=CATF_35417
15934770315646,Hourglass Corset Top - Chocolate,Apparel,Sin stock en todas las variantes,N,7,0,80.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934770315646&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fhourglass-corset-top-chocolate&intsrc=CATF_35417
15934770545022,Hourglass Corset Top - Lemon,Apparel,Sin stock en todas las variantes,N,7,0,80.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934770545022&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fhourglass-corset-top-lemon&intsrc=CATF_35417
15407217508734,Isla Side Slit Maxi Dress - Blue,Apparel,Sin stock en todas las variantes,N,6,0,60.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15407217508734&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fisla-side-slit-maxi-dress-blue&intsrc=CATF_35417
15701334557054,Junia G-String - Lilac,Bottoms,Sin stock en todas las variantes,N,6,0,20.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15701334557054&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fjunia-g-string-lilac&intsrc=CATF_35417
15827869237630,Knitted Button Down Top - Brown Stripe,Apparel,Sin stock en todas las variantes,N,6,0,45.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15827869237630&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fknitted-button-down-top-brown-stripe&intsrc=CATF_35417
15547088929150,Knitted Jacket - Tan,Apparel,Sin stock en todas las variantes,N,6,0,51.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15547088929150&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fknitted-jacket-tan&intsrc=CATF_35417
15544986698110,Knitted Polo Top - Mink,Apparel,Sin stock en todas las variantes,N,6,0,33.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15544986698110&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fknitted-alpaca-blend-polo-top-mink&intsrc=CATF_35417
15827869827454,Knitted Shorts - Beige Stripe,Apparel,Sin stock en todas las variantes,N,6,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15827869827454&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fknitted-shorts-beige-stripe&intsrc=CATF_35417
15827869925758,Knitted Shorts - Brown Stripe,Apparel,Sin stock en todas las variantes,N,6,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15827869925758&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fknitted-shorts-brown-stripe&intsrc=CATF_35417
15827870024062,Knitted T-Shirt - Beige Stripe,Apparel,Sin stock en todas las variantes,N,6,0,45.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15827870024062&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fknitted-t-shirt-beige-stripe&intsrc=CATF_35417
15827870122366,Knitted T-Shirt - Brown Stripe,Apparel,Sin stock en todas las variantes,N,6,0,45.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15827870122366&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fknitted-t-shirt-brown-stripe&intsrc=CATF_35417
15827869532542,Knitted Vest Top - Black,Apparel,Sin stock en todas las variantes,N,6,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15827869532542&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fknitted-vest-top-black&intsrc=CATF_35417
15934769955198,Lace Bralette Top - Black,Apparel,Sin stock en todas las variantes,N,7,0,60.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934769955198&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-bralette-top-black&intsrc=CATF_35417
15934769758590,Lace Bralette Top - Chocolate,Apparel,Sin stock en todas las variantes,N,7,0,60.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934769758590&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-bralette-top-chocolate&intsrc=CATF_35417
15934769234302,Lace Corset Mini Dress - Black,Apparel,Sin stock en todas las variantes,N,7,0,95.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934769234302&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-corset-mini-dress-black&intsrc=CATF_35417
15934769267070,Lace Corset Mini Dress - White,Apparel,Sin stock en todas las variantes,N,7,0,95.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934769267070&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-corset-mini-dress-white&intsrc=CATF_35417
15407049015678,Lace Corset Top - White,Apparel,Sin stock en todas las variantes,N,7,0,45.5,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15407049015678&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-corset-top-white&intsrc=CATF_35417
15851377361278,Lace Maxi Dress - Black,Apparel,Sin stock en todas las variantes,N,6,0,120.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15851377361278&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-maxi-dress-black&intsrc=CATF_35417
15587901800830,Lace Maxi Dress with Bodysuit - Black,Apparel,Sin stock en todas las variantes,N,7,0,130.5,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15587901800830&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-maxi-dress-with-bodysuit-black&intsrc=CATF_35417
7711585861668,Lace Pyjama Bottoms - White,Sleep,Sin stock en todas las variantes,N,7,0,25.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7711585861668&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-pyjama-bottoms-white&intsrc=CATF_35417
15860488077694,Lace Thongs (3-Pack) - Pastel,Multipack Bottoms,Sin stock en todas las variantes,N,6,0,30.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15860488077694&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-thongs-multipack-pastel&intsrc=CATF_35417
15577304859006,Lace Tights (40 Denier) - Black,Accessories,Sin stock en todas las variantes,N,3,0,30.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15577304859006&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-tights-black&intsrc=CATF_35417
15704190976382,Lace Trim Corset Top - Lemon Floral,Apparel,Sin stock en todas las variantes,N,7,0,55.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15704190976382&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-trim-corset-top-lemon-floral&intsrc=CATF_35417
15704191041918,Lace Trim Corset Top - Pink Floral,Apparel,Sin stock en todas las variantes,N,7,0,55.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15704191041918&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-trim-corset-top-pink-floral&intsrc=CATF_35417
15934768972158,Lace Trim Maxi Dress - Chocolate Polka Dot,Apparel,Sin stock en todas las variantes,N,6,0,120.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934768972158&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-trim-maxi-dress-chocolate-polka-dot&intsrc=CATF_35417
15934769037694,Lace Trim Maxi Dress - Lemon,Apparel,Sin stock en todas las variantes,N,6,0,120.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934769037694&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flace-trim-maxi-dress-lemon&intsrc=CATF_35417
15934769299838,Lace Trim Plunge Mini Dress - Chocolate Polka Dot,Apparel,Sin stock en todas las variantes,N,6,0,90.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934769299838&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fplunge-mini-dress-chocolate-polka-dot&intsrc=CATF_35417
15934769365374,Lace Trim Plunge Mini Dress - Lemon Polka Dot,Apparel,Sin stock en todas las variantes,N,6,0,90.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15934769365374&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fplunge-mini-dress-lemon-polka-dot&intsrc=CATF_35417
7217902026788,Light Non-Wired Plunge T-Shirt Bra - Black,Set,Sin stock en todas las variantes,N,8,0,21.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7217902026788&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flight-non-wire-plunge-bra-thong-briefs-set-black&intsrc=CATF_35417
7217902059556,Light Non-Wired Plunge T-Shirt Bra - Latte,Set,Sin stock en todas las variantes,N,8,0,21.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7217902059556&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flight-non-wire-plunge-bra-thong-briefs-set-latte&intsrc=CATF_35417
15477376024958,Long-Sleeved Corset Shirt - Blue,Apparel,Sin stock en todas las variantes,N,6,0,48.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15477376024958&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Flong-sleeved-corset-shirt-blue&intsrc=CATF_35417
7247030911012,Luxury Strapless T-shirt Bra  - Black,Set,Sin stock en todas las variantes,N,51,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7247030911012&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fluxury-strapless-bra-thong-briefs-set-black&intsrc=CATF_35417
7247030976548,Luxury Strapless T-shirt Bra  - Chestnut,Set,Sin stock en todas las variantes,N,44,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7247030976548&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fluxury-strapless-bra-thong-briefs-set-chestnut&intsrc=CATF_35417
7247030943780,Luxury Strapless T-shirt Bra  - Honey,Set,Sin stock en todas las variantes,N,51,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7247030943780&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fluxury-strapless-bra-thong-briefs-set-honey&intsrc=CATF_35417
15587902488958,Mini Skirt - Black,Apparel,Sin stock en todas las variantes,N,6,0,63.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15587902488958&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmini-skirt-black&intsrc=CATF_35417
7711587106852,Modal Nightdress - White,Sleep,Sin stock en todas las variantes,N,7,0,25.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=7711587106852&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmodal-nightdress-white&intsrc=CATF_35417
15370404757886,Modal Pyjama Bottoms - Blue Floral,Sleep,Sin stock en todas las variantes,N,6,0,30.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15370404757886&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmodal-pyjama-bottoms-blue-floral&intsrc=CATF_35417
15828113195390,Modal Pyjama Shorts - Brown Marl,Sleep,Sin stock en todas las variantes,N,6,0,35.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15828113195390&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmodal-pyjama-shorts-brown-marl&intsrc=CATF_35417
15828113064318,Modal Straight-Leg Pyjama Bottoms - Brown Marl,Sleep,Sin stock en todas las variantes,N,6,0,45.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15828113064318&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmodal-straight-leg-pyjama-bottoms-brown-marl&intsrc=CATF_35417
15820768051582,Monaco Bandeau Bikini Top - Chocolate,Swim Top,Sin stock en todas las variantes,N,6,0,45.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15820768051582&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-bandeau-bikini-top-chocolate&intsrc=CATF_35417
15004760113534,Monaco Bandeau Bikini Top - Plum,Swim Top,Sin stock en todas las variantes,N,6,0,33.75,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15004760113534&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-bandeau-bikini-top-plum&intsrc=CATF_35417
15820767723902,Monaco High-Leg Bikini Thong - Chocolate,Swim Bottoms,Sin stock en todas las variantes,N,6,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15820767723902&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-leg-bikini-thong-chocolate&intsrc=CATF_35417
15004758245758,Monaco High-Leg Bikini Thong - Plum,Swim Bottoms,Sin stock en todas las variantes,N,6,0,30.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15004758245758&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-leg-bikini-thong-plum&intsrc=CATF_35417
15820767003006,Monaco High-Leg Brazilian Bikini Briefs - Chocolate,Swim Bottoms,Sin stock en todas las variantes,N,6,0,40.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15820767003006&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-leg-brazilian-bikini-briefs-chocolate&intsrc=CATF_35417
15004758147454,Monaco High-Leg Brazilian Bikini Briefs - Plum,Swim Bottoms,Sin stock en todas las variantes,N,6,0,30.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15004758147454&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-leg-brazilian-bikini-briefs-plum&intsrc=CATF_35417
15004760637822,Monaco High-Leg Swimsuit - Black,Swim,Sin stock en todas las variantes,N,6,0,65.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15004760637822&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-leg-swimsuit-black&intsrc=CATF_35417
15820768248190,Monaco High-Leg Swimsuit - Chocolate,Swim,Sin stock en todas las variantes,N,6,0,65.0,https://loungeeu.sjv.io/c/7518894/3973367/54841?prodsku=15820768248190&u=https%3A%2F%2Feu.lounge.com%2Fproducts%2Fmonaco-high-leg-swimsuit-chocolate&intsrc=CATF_35417
