"id","producto","tienda","categorias","variantes_origen","variantes_presentadas","duplicados_agrupados","etiquetas_genericas_origen","estado","controles","valores"
"fam-00e029913db7","KAWOLA RISO","Muebles Style Spain","Hogar | Sofás","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"fam-0145c821e172","KAWOLA ROSARIO","Muebles Style Spain","Hogar | Sofás","12","12","0","0","configurador","Color (visual) | Color o diseño (visual)","Color: Oro / Petróleo / Antracita / Gris claro / Verde musgo / Burdeos | Color o diseño: Diseño 1 / Diseño 2"
"fam-05a609f0228e","KAWOLA ROSARIO","Muebles Style Spain","Hogar | Sofás","19","19","0","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Antracita / Gris claro / Verde musgo / Burdeos / Oro / Petróleo / Amarillo | Medida: 105.0 x 207.0 x 68.0cm / 105.0 x 236.0 x 68.0cm / 105.0 x 282.0 x 68.0cm | Tejido o material: Terciopelo / Tejido"
"fam-c38c979d3648","KAWOLA ROWA","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","2","2","0","0","configurador","Color (visual)","Color: Negro / Gris"
"fam-cf7061947c2b","KAWOLA RUNA","Muebles Style Spain","Hogar | Sillas y sillones","3","3","0","0","configurador","Color (visual)","Color: Blanco crema / Marrón claro / Negro"
"fam-4ce595587665","KAWOLA SADIRA","Muebles Style Spain","Hogar | Sofás","12","12","0","0","configurador","Color (visual) | Color o diseño (visual) | Tejido o material (buttons)","Color: Blanco crema / Gris / Topo | Color o diseño: Diseño 1 / Diseño 2 | Tejido o material: Pana / Tejido plano"
"fam-048c2817761a","KAWOLA SAMU","Muebles Style Spain","Hogar | Sofás","48","24","24","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Plata / Beige / Verde oliva / Verde / Gris / Antracita / Rosa / Blanco / Azul claro / Gris claro / Blanco crema / Topo / Gris piedra / Óxido / Esmeralda | Medida: 168.0 x 276.0 x 72.0cm / 224.0 x 226.0 x 72.0cm / 224.0 x 254.0 x 72.0cm | Tejido o material: Pana / Tejido"
"fam-9df403de82e6","KAWOLA SAMU","Muebles Style Spain","Hogar | Sofás","42","38","4","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Blanco / Rosa / Antracita / Gris / Verde / Verde oliva / Beige / Plata / Crema / Topo / Gris claro / Negro / Amarillo / Azul claro / Gris oscuro / Marrón oscuro | Medida: 106.0 x 236.0 x 72.0cm / 106.0 x 256.0 x 72.0cm / 106.0 x 266.0 x 72.0cm / 106.0 x 418.0 x 72.0cm | Tejido o material: Pana / Tejido"
"fam-aaef21e542b8","KAWOLA SAMU","Muebles Style Spain","Hogar | Sofás","5","5","0","0","configurador","Color (visual)","Color: Gris / Gris claro / Crema / Topo / Beige"
"fam-eefb739c79b7","KAWOLA SAMU","Muebles Style Spain","Hogar | Sofás","8","8","0","0","configurador","Color (visual)","Color: Gris / Verde / Verde oliva / Beige / Plata / Antracita / Rosa / Blanco"
"fam-b523c18c0c3e","KAWOLA SARI","Muebles Style Spain","Hogar | Sillas y sillones","4","4","0","0","configurador","Color (visual) | Tejido o material (buttons)","Color: Gris claro / Topo / Negro / Marrón | Tejido o material: Tejido / Piel"
"fam-4226527d394b","KAWOLA SELVA","Muebles Style Spain","Hogar | Mesas y escritorios","13","6","7","0","configurador","Color (visual) | Medida (buttons)","Color: Colores de madera / Marrón | Medida: 100.0 x 200.0 x 78.0cm / 100.0 x 220.0 x 78.0cm / 100.0 x 240.0 x 78.0cm / 100.0 x 260.0 x 78.0cm / 100.0 x 280.0 x 78.0cm / 100.0 x 300.0 x 78.0cm"
"fam-a4ccd3e035e8","KAWOLA SELVA","Muebles Style Spain","Hogar | Mesas y escritorios","4","4","0","0","configurador","Color o diseño (visual) | Medida (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Medida: 100.0 x 200.0 x 78.0cm / 100.0 x 220.0 x 78.0cm / 100.0 x 300.0 x 78.0cm"
"fam-66d4c1c4cb17","KAWOLA SENSO","Muebles Style Spain","Hogar | Sillas y sillones","3","3","0","0","configurador","Color (visual)","Color: Verde / Negro / Gris plateado"
"fam-030408099bcf","KAWOLA SEPHI","Muebles Style Spain","Hogar | Sofás","4","4","0","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Plata / Rojo | Medida: 27.0 x 82.0 x 62.0cm / 27.0 x 107.0 x 62.0cm / 82.0 x 107.0 x 39.0cm | Tejido o material: Metal / Pana"
"fam-636f0fadfacb","KAWOLA SEPHI","Muebles Style Spain","Hogar | Textiles y cojines","11","11","0","0","configurador","Color (visual) | Medida (buttons)","Color: Rojo / Rosa / Gris / Antracita / Plata | Medida: 50.0 x 50.0 x 50.0cm / 60.0 x 60.0 x 40.0cm / 75.0 x 75.0 x 75.0cm / 19.0 x 67.0 x 37.0cm / 95.0 x 95.0 x 95.0cm / 20.0 x 70.0 x 46.0cm / 19.0 x 92.0 x 37.0cm"
"fam-5492f79fcee2","KAWOLA SESA","Muebles Style Spain","Hogar | Almacenaje","3","3","0","0","configurador","Medida (buttons)","Medida: 25.0 x 100.0 x 8.0cm / 25.0 x 150.0 x 8.0cm / 25.0 x 200.0 x 8.0cm"
"fam-8d73f9629546","KAWOLA SESA","Muebles Style Spain","Hogar | Mesas y escritorios","2","2","0","0","configurador","Medida (buttons)","Medida: 20.0 x 30.0 x 8.0cm / 20.0 x 40.0 x 10.0cm"
"fam-bf6585bbea82","KAWOLA SESTA","Muebles Style Spain","Hogar | Almacenaje","2","2","0","0","configurador","Medida (buttons)","Medida: 30.0 x 80.0 x 24.0cm / 30.0 x 80.0 x 90.0cm"
"fam-7f36194c6892","KAWOLA SESTA","Muebles Style Spain","Hogar | Mesas y escritorios","2","2","0","0","configurador","Medida (buttons)","Medida: 75.0 x 140.0 x 92.0cm / 80.0 x 140.0 x 93.0cm"
"fam-2598923fdb69","KAWOLA SILVA","Muebles Style Spain","Hogar | Bancos, pufs y reposapiés","3","3","0","0","configurador","Color (visual) | Medida (buttons) | Tejido o material (buttons)","Color: Beige / Gris claro / Negro | Medida: 86.0 x 77.0 x 106.0cm / 85.0 x 78.0 x 109.0cm | Tejido o material: Piel de oveja / Piel"
"fam-938cecc6df14","KAWOLA SINDAR","Muebles Style Spain","Hogar | Camas y colchones","3","3","0","0","configurador","Color (visual) | Color o diseño (visual)","Color: Antracita / Azul oscuro | Color o diseño: Diseño 1 / Diseño 2"
