"id","producto","tienda","categorias","variantes_origen","variantes_presentadas","duplicados_agrupados","etiquetas_genericas_origen","estado","controles","valores"
"ss-es-05d6c8edda81","Chaleco Q36.5 L1 Essential Negro","365Rider","Deporte | Ciclismo","2","2","0","0","configurador","Talla (buttons)","Talla: S / XL"
"fam-37945b94d1af","Samsung Galaxy Tab A11 Cuádruples","Amazon ES","Tecnología","2","1","1","0","duplicados_agrupados","",""
"fam-5e2e60618029","361 MIRO NUDE","BIKILA ES","Deporte | Running","3","3","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9.5 / 10"
"fam-28dff81cff27","ADI365 CLIMACOOL+ 2 POCKET SHORTS","BIKILA ES","Deporte | Running","2","2","0","0","configurador","Talla (buttons)","Talla: M / L"
"fam-47b06304156f","ADIDAS ADI365 CLIMACOOL TEE","BIKILA ES","Deporte | Running","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
"fam-de8209a5f9e9","ADIDAS ADI365 FORMOTION 2IN1 SHORT","BIKILA ES","Deporte | Textil deportivo","2","2","0","0","configurador","Talla (buttons)","Talla: M / L"
"fam-36f70c5db932","ADIDAS ADI365 FORMOTION SHORT","BIKILA ES","Deporte | Textil deportivo","6","6","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: S / M / L"
"fam-94ebdc378fb1","ADIDAS ADISTAR 5","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 9 / 9.5 / 10 / 10.5 / 11"
"fam-a03ceac70d57","ADIDAS ADISTAR 5 MUJER","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9"
"fam-d4e409946110","ADIDAS ADISTAR BYD 2","BIKILA ES","Deporte | Running","35","35","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-f23040f0f55f","ADIDAS ADISTAR BYD 2 MUJER","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 6 / 7 / 7.5 / 8 / 8.5"
"fam-5cacfa1208a5","ADIDAS ADIZERO ADIOS 9","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-15c11db180cf","ADIDAS ADIZERO ADIOS 9 MUJER","BIKILA ES","Deporte | Running","16","16","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5"
"fam-4c63431b1a99","ADIDAS ADIZERO AMBITION 2","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10"
"fam-e1e79a494e66","ADIDAS ADIZERO AVANTI 2","BIKILA ES","Deporte | Running","11","11","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 7.5 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11"
"fam-5a1d2a4f2bda","ADIDAS ADIZERO BOSTON 13","BIKILA ES","Deporte | Running","37","37","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-d74f8967e996","ADIDAS ADIZERO BOSTON 13 MUJER","BIKILA ES","Deporte | Running","8","8","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5"
"fam-ba34ea69d241","ADIDAS ADIZERO CAP","BIKILA ES","Deporte | Running","3","3","0","1","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3"
"fam-e385d550851a","ADIDAS ADIZERO DROPSET PRO","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8 / 9 / 9.5 / 10 / 10.5 / 12"
"fam-9e49f88a6357","ADIDAS ADIZERO DROPSET PRO MUJER","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9"
"fam-a66c8f5123fd","ADIDAS ADIZERO EVO SL ATR","BIKILA ES","Deporte | Running","18","18","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-2290b5397bb6","ADIDAS ADIZERO EVO SL ATR MUJER","BIKILA ES","Deporte | Running","8","8","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5"
"fam-6cb3e8e7f00b","ADIDAS ADIZERO EVO SL MUJER","BIKILA ES","Deporte | Running","7","7","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9"
"fam-64eafdbd35e1","ADIDAS ADIZERO EVO SL WOVEN","BIKILA ES","Deporte | Running","50","50","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-f3bf707fdac2","ADIDAS ADIZERO EVO SL WOVEN MUJER","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5"
"fam-5e79bc875a7a","ADIDAS ADIZERO FINESSE","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 11 / 11.5"
"fam-fc013f2a5537","ADIDAS ADIZERO HJ","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-6d2b0510e7d8","ADIDAS ADIZERO JAVELIN","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11.5"
"fam-4c313c53cda6","ADIDAS ADIZERO LJ","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-45117236fb7a","ADIDAS ADIZERO PRIME SP 4","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Talla (buttons)","Talla: 5 / 5.5 / 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11"
"fam-d017e10e1e39","ADIDAS ADIZERO PRIME X 3 STRUNG","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons)","Talla: 9 / 9.5 / 10 / 10.5 / 11"
"fam-09ac378bc4c7","ADIDAS ADIZERO TAKUMI 11","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons)","Talla: 9 / 9.5 / 10 / 10.5 / 11"
"fam-96cab5942f3d","ADIDAS ADIZERO THROWS","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Talla (buttons)","Talla: 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 12 / 13"
"fam-a7d826fc4aff","ADIDAS ADIZERO TJ PV","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Talla (buttons)","Talla: 6 / 6.5 / 7 / 8 / 8.5 / 9 / 10 / 10.5 / 11 / 11.5"
"fam-decd68af94e6","ADIDAS ADIZERO XCS","BIKILA ES","Deporte | Running","7","7","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-9d8430dc30d8","ADIDAS AEROREADY RUN GLOVES","BIKILA ES","Deporte | Running","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
"fam-cd3e0ab28879","ADIDAS ALLROUNDSTAR J","BIKILA ES","Deporte | Running","29","29","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 1.5 / 2 / 2.5 / 3 / 3.5 / 4 / 4.5 / 5 / 5.5 / 6 / 6.5"
"fam-b904c46b2ac4","ADIDAS BIKILA RUN BOOTY SHORT MUJER","BIKILA ES","Deporte | Textil deportivo","2","2","0","0","configurador","Talla (buttons)","Talla: XS / M"
"fam-2a271e3d0757","ADIDAS BIKILA RUN SHORT TIGHT","BIKILA ES","Deporte | Textil deportivo","3","3","0","0","configurador","Talla (buttons)","Talla: S / L / XL"
"fam-36b3ecd17ea4","ADIDAS BIKILA TEAM JACKET","BIKILA ES","Deporte | Textil deportivo","7","7","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: S / M / L / XL"
"fam-444d2eb6e7d1","ADIDAS BIKILA TEAM JACKET MUJER","BIKILA ES","Deporte | Textil deportivo","7","7","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: XS / S / M / L"
"fam-769032c999cf","ADIDAS BIKILA TEAM LONG TIGHT","BIKILA ES","Deporte | Textil deportivo","2","2","0","0","configurador","Talla (buttons)","Talla: S / M"
"fam-f17931e8b858","ADIDAS BIKILA TEAM LONG TIGHT MUJER","BIKILA ES","Deporte | Textil deportivo","4","4","0","0","configurador","Talla (buttons)","Talla: XS / S / M / L"
"fam-9c4c926d9328","ADIDAS BIKILA TEAM SHORT","BIKILA ES","Deporte | Textil deportivo","4","4","0","0","configurador","Talla (buttons)","Talla: S / M / L / XL"
"fam-62393a6f9f25","ADIDAS BIKILA TEAM SHORT TIGHT","BIKILA ES","Deporte | Textil deportivo","8","8","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: S / M / L / XL"
"fam-bb33df2c9944","ADIDAS BIKILA TEAM SHORT TIGHT MUJER","BIKILA ES","Deporte | Textil deportivo","8","8","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: XS / S / M / L"
"fam-4be78b226b0b","ADIDAS BIKILA TEAM SINGLET","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: XS / S / M / L / XL"
"fam-387ad3f75f79","ADIDAS BIKILA TEAM SINGLET MUJER","BIKILA ES","Deporte | Running","12","12","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: XS / S / M / L"
"fam-5c050fbee12a","ADIDAS BIKILA TEAM SPLIT SHORT","BIKILA ES","Deporte | Textil deportivo","5","5","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: S / M / L / XL"
"fam-0c7df0f4c984","ADIDAS BIKILA TEAM SPLIT SHORT MUJER","BIKILA ES","Deporte | Textil deportivo","6","6","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: XS / S / M / L"
"fam-195e2e34882e","ADIDAS BIKILA TEAM SS","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: XS / S / M / L / XL"
"fam-25d7082a9077","ADIDAS BIKILA TEAM SS MUJER","BIKILA ES","Deporte | Running","12","12","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: XS / S / M / L"
"fam-962a332d0565","ADIDAS BIKILA TEAM TOP MUJER","BIKILA ES","Deporte | Textil deportivo","12","12","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: XS / S / M / L"
"fam-54b97f7d6b6c","ADIDAS DISTANCESTAR","BIKILA ES","Deporte | Running","11","11","0","0","configurador","Talla (buttons)","Talla: 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-2478c3a39b04","ADIDAS HYPERBOOST EDGE","BIKILA ES","Deporte | Running","15","15","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 7.5 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-b1c313f38e2a","ADIDAS HYPERBOOST EDGE MUJER","BIKILA ES","Deporte | Running","12","12","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 6.5 / 7 / 7.5 / 8 / 8.5 / 9"
"fam-b1c63b9eeb7c","ADIDAS RUN LIGHT ANKLE SOCKS","BIKILA ES","Deporte | Calcetines deportivos","7","7","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: S / M / L / XL"
"fam-b8b04587d5b6","ADIDAS RUN LIGHT CREW SOCKS","BIKILA ES","Deporte | Calcetines deportivos","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
"fam-7e115108f282","ADIDAS RUN MESH CAP","BIKILA ES","Deporte | Running","4","4","0","4","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4"
"fam-97d6b97d64bc","ADIDAS RUN MSG CREW SOCKS","BIKILA ES","Deporte | Calcetines deportivos","6","6","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: S / M / L / XL"
"fam-576394e77a68","ADIDAS RUNNING CATEGORY GRAPHIC T-SHIRT","BIKILA ES","Deporte | Textil deportivo","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
"fam-db0ccc1b4413","ADIDAS SPRINTSTAR","BIKILA ES","Deporte | Running","15","15","0","0","configurador","Talla (select)","Talla: 4 / 4.5 / 5 / 5.5 / 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11"
"fam-dd36bb26aeb1","ADIDAS SUB-2 MARATHON CELEBRATION 1:59:30","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: S / M / L / XL"
"fam-35b0532f4b54","ADIDAS SUB-2 MARATHON CELEBRATION TIMES","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: S / M / L / XL"
"fam-faee3039a7fb","ADIDAS SUPERNOVA RISE 3","BIKILA ES","Deporte | Running","28","28","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-c52ebf328838","ADIDAS SUPERNOVA RISE 3 MUJER","BIKILA ES","Deporte | Running","10","10","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 6.5 / 7 / 7.5 / 8 / 8.5 / 9"
"fam-22c8dd080ef9","ADIDAS SUPERNOVA SOLUTION 3","BIKILA ES","Deporte | Running","14","14","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13 / 14"
"fam-eea2af214a61","ADIDAS TERREX AGRAVIC SL","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11"
"fam-9e3ed73ca4bd","ADIDAS TERREX AGRAVIC SPEED ULTRA 2","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 9 / 9.5 / 10 / 10.5"
"fam-ec7d5317b738","ALTRA ESCALANTE 5","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11"
"fam-bc539594cec2","ALTRA ESCALANTE 5 MUJER","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5"
"fam-eeefa0bbed31","ALTRA EXPERIENCE FLOW 3","BIKILA ES","Deporte | Running","7","7","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-64bc9c04ef59","ALTRA EXPERIENCE FLOW 3 MUJER","BIKILA ES","Deporte | Running","8","8","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 7 / 7.5 / 8 / 8.5 / 9"
"fam-6228f4d97067","ALTRA EXPERIENCE WILD 3+","BIKILA ES","Deporte | Running","7","7","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-bd20675a8c90","ALTRA EXPERIENCE WILD 3+ MUJER","BIKILA ES","Deporte | Running","3","3","0","0","configurador","Talla (buttons)","Talla: 7 / 8 / 9"
"fam-499d8c5ca7e0","ALTRA LONE PEAK 9+","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 11 / 11.5"
"fam-6a5307f92c1d","ALTRA LONE PEAK 9+ MUJER","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 7.5 / 8 / 8.5 / 9"
"fam-bb1c58fad45d","ALTRA MOTIV FLX","BIKILA ES","Deporte | Running","7","7","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5"
"fam-4e07771bb7bc","ALTRA MOTIV FLX MUJER","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5"
"fam-7b6eee9c2086","ALTRA OLYMPUS 275 HILO","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 10 / 10.5"
"fam-8aa59495aa74","ALTRA TORIN 9","BIKILA ES","Deporte | Running","16","16","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-850071eaee2e","ALTRA TORIN 9 ANCHO EXTRA","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11.5"
"fam-75fb6dea4726","ALTRA TORIN 9 MUJER","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5"
"fam-47288b7e1338","ALTRA TORIN 9 MUJER ANCHO EXTRA","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5"
"fam-005cfcb46fb7","ASICS 2PACK LIGHT RUN ANKLE SOCK","BIKILA ES","Deporte | Calcetines deportivos","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
"fam-3b2f3e32963c","ASICS 2PPK CUSHION RUN QRTR SOCK","BIKILA ES","Deporte | Calcetines deportivos","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
"fam-5789ff8a5de9","ASICS 5 PANEL CAP","BIKILA ES","Deporte | Running","2","2","0","0","configurador","Talla (buttons)","Talla: M/L / S/M"
"fam-7db41b26c7e3","ASICS CORE SPLIT","BIKILA ES","Deporte | Running","3","3","0","0","configurador","Talla (buttons)","Talla: S / M / L"
"fam-23065c66ed64","ASICS CUMULUS 28","BIKILA ES","Deporte | Running","38","38","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 | Talla: 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-98437f9af5a6","ASICS CUMULUS 28 MUJER","BIKILA ES","Deporte | Running","17","17","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5"
"fam-b16cc8ceb337","ASICS FUJI LITE 7","BIKILA ES","Deporte | Running","6","6","0","0","configurador","Talla (buttons)","Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11"
"fam-907f964700e3","ASICS GEL NIMBUS 28","BIKILA ES","Deporte | Running","15","15","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5"
"fam-ac3d4f3780c8","ASICS GEL-KAYANO 33","BIKILA ES","Deporte | Running","17","17","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 13 / 14"
"fam-1bbea4450d95","ASICS GEL-KAYANO 33 MUJER","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5"
"fam-b429c1cc7587","ASICS MEGABLAST","BIKILA ES","Deporte | Running","8","8","0","0","configurador","Talla (buttons)","Talla: 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 12"
"fam-122e86ee7c92","ASICS METASPEED EDGE 4 TOKYO","BIKILA ES","Deporte | Running","11","11","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-6ca778833f00","ASICS METASPEED SKY 4 TOKYO","BIKILA ES","Deporte | Running","9","9","0","0","configurador","Talla (buttons)","Talla: 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12"
"fam-9a9e20904375","ASICS NOVABLAST 6","BIKILA ES","Deporte | Running","49","49","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-8ce46c8a57a8","ASICS NOVABLAST 6 MUJER","BIKILA ES","Deporte | Running","22","22","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10"
"fam-fe9291f84613","Asics PRFM VISOR","BIKILA ES","Deporte | Running","2","2","0","2","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"fam-15619346ce50","ASICS SUPERBLAST 3","BIKILA ES","Deporte | Running","15","15","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 | Talla: 7.5 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 12 / 13"
"fam-08f7cad62f6f","ASICS TRABUCO 14","BIKILA ES","Deporte | Running","28","28","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-a7e4b77e4707","ASICS TRABUCO 14 MUJER","BIKILA ES","Deporte | Running","14","14","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 | Talla: 6.5 / 7 / 7.5 / 8 / 8.5 / 9"
"fam-1a8773a11a42","ASICS TRABUCO MAX 5","BIKILA ES","Deporte | Running","15","15","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5"
"fam-a87328334bba","ASICS TRABUCO MAX 5 MUJER","BIKILA ES","Deporte | Running","4","4","0","0","configurador","Talla (buttons)","Talla: 7 / 7.5 / 8 / 9"
"fam-8d61dcc2dbf6","ASICS ULTRA LIGHTWEIGHT CAP","BIKILA ES","Deporte | Running","2","2","0","0","configurador","Color o diseño (visual)","Color o diseño: Diseño 1 / Diseño 2"
"fam-01645cf18045","Bikila BOLSA 20 CLAVOS","BIKILA ES","Deporte | Zapatillas de clavos","4","4","0","0","configurador","Talla (buttons)","Talla: 3 / 6 / 9 / 12"
"fam-a7b5b308884c","Bikila GUANTES DE LANZAMIENTO DE MARTILLO","BIKILA ES","Deporte | Running","5","5","0","0","configurador","Talla (buttons) | Orientación (buttons)","Talla: S / M / L | Orientación: derecha / izquierda"
"fam-e23c085817ed","BROOKS ADRENALINE GTS 25","BIKILA ES","Deporte | Running","43","43","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-286d07f58b5e","BROOKS ADRENALINE GTS 25 MUJER","BIKILA ES","Deporte | Running","27","27","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 | Talla: 6 / 6.5 / 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10"
"fam-1a2aeabc7115","BROOKS CASCADIA 20","BIKILA ES","Deporte | Running","37","37","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 | Talla: 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
"fam-11f85df89bba","BROOKS CASCADIA 20 MUJER","BIKILA ES","Deporte | Running","13","13","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10"
"fam-45c4c674f676","BROOKS GHOST 18","BIKILA ES","Deporte | Running","72","72","0","0","configurador","Color o diseño (visual) | Talla (buttons)","Color o diseño: Diseño 1 / Diseño 2 / Diseño 3 / Diseño 4 / Diseño 5 / Diseño 6 / Diseño 7 / Diseño 8 | Talla: 7 / 7.5 / 8 / 8.5 / 9 / 9.5 / 10 / 10.5 / 11 / 11.5 / 12 / 12.5 / 13"
